loader,preprocessor,model,pg_scheme,task,accuracy_mean,accuracy_std,f1_mean,f1_std,status
whole_set_shuffled,all_synthesis_hydrophob,rff,default_uzh_mit,classification,0.825,0.03181818181818182,0.7884139767297662,0.04316188466611224,success
whole_set,all_synthesis_hydrophob,rff,default_uzh_mit,classification,0.8235814889336016,0.05728980453856917,0.7790465949820788,0.06098209771913361,success
whole_set,all_synthesis_hydrophob,xgb,default_uzh_mit,classification,0.8150503018108652,0.05815041109741522,0.7798043835225246,0.05041445533250233,success
whole_set_shuffled,all_synthesis_hydrophob,xgb,default_uzh_mit,classification,0.8022727272727274,0.03706706006886385,0.7683861961746224,0.04597313285185374,success
reaction_set,all_synthesis_hydrophob,xgb,default_uzh_mit,classification,0.6697786720321932,0.05078821570314272,0.5020541197932502,0.04203514771528304,success
whole_set_shuffled,all_synthesis_hydrophob,knn,default_uzh_mit,classification,0.640909090909091,0.03491429885394822,0.5119220393634173,0.0551416942612453,success
reaction_set,all_synthesis_hydrophob,rff,default_uzh_mit,classification,0.6156941649899397,0.056535010618557084,0.3916145472200297,0.041605525110609574,success
reaction_set,all_synthesis_hydrophob,knn,default_uzh_mit,classification,0.6043058350100604,0.062168362752578976,0.3532462639361213,0.07832814249779092,success
whole_set,all_synthesis_hydrophob,knn,default_uzh_mit,classification,0.5954929577464789,0.02554764746368382,0.4477666598729907,0.07295878816568832,success
whole_set,fingerprint,rff,default_uzh_mit,classification,0.641046277665996,0.047087137984964535,0.5368845651468135,0.05855769770346515,success
whole_set,fingerprint,xgb,default_uzh_mit,classification,0.6296579476861167,0.042066578886527796,0.5325883622824372,0.050843919037713375,success
reaction_set,fingerprint,xgb,default_uzh_mit,classification,0.618430583501006,0.05121988751804071,0.4351657305318632,0.06400285405529288,success
reaction_set,fingerprint,rff,default_uzh_mit,classification,0.6043058350100604,0.057388820826949204,0.3876285146742355,0.05448946379849305,success
whole_set_shuffled,fingerprint,rff,default_uzh_mit,classification,0.6,0.031655427902691186,0.4565874150393786,0.0415040189833811,success
whole_set,fingerprint,knn,default_uzh_mit,classification,0.5898189134808853,0.031963871609237915,0.4900335367695933,0.03439381706659488,success
reaction_set,fingerprint,knn,default_uzh_mit,classification,0.5727162977867203,0.0586792354671032,0.4295490095707882,0.03974856895826894,success
whole_set_shuffled,fingerprint,xgb,default_uzh_mit,classification,0.5704545454545455,0.04511234827563456,0.44227074346935397,0.060813271189624124,success
whole_set_shuffled,fingerprint,knn,default_uzh_mit,classification,0.5681818181818181,0.04128614119223853,0.463936285936286,0.06450069850621766,success
whole_set,hydrophobicity,rff,default_uzh_mit,classification,0.6156136820925553,0.05591369372045041,0.4965939830951938,0.039205683217260284,success
reaction_set,hydrophobicity,rff,default_uzh_mit,classification,0.6128370221327968,0.05831101167640406,0.42429884850034333,0.02670369145583713,success
reaction_set,hydrophobicity,xgb,default_uzh_mit,classification,0.6098591549295774,0.06975643590109007,0.4272358846826932,0.09126212415709169,success
whole_set,hydrophobicity,xgb,default_uzh_mit,classification,0.6071227364185111,0.06942875697328633,0.5171937592241197,0.04688318553299216,success
whole_set_shuffled,hydrophobicity,rff,default_uzh_mit,classification,0.5977272727272727,0.03340213285613425,0.4477527151211362,0.05918577246786574,success
