feature,mean_abs_shap
pos7_logP,0.012745669021125484
pos0_logP,0.011309255703081656
temp_coupling,0.010304188370334094
pos2_logP,0.010125950829014189
pos8_logP,0.008933364882701744
pos4_logP,0.008920342404017807
pos5_logP,0.008780101852238046
pos10_logP,0.008004187728983238
pos9_logP,0.007647746714203843
pos6_logP,0.007635493063152193
pos1_logP,0.0071900587085555485
pos3_logP,0.007017324558112749
pos11_logP,0.004424532607542414
pos12_logP,0.00342194322406208
machine_afps01,0.003135553771298962
pos13_logP,0.003113009466446842
coupling_agent_HATU,0.0028471849908833606
coupling_agent_PYAOP,0.0025558739210774194
pos14_logP,0.0016469537083174974
pos15_logP,0.0011613400941519806
pos17_logP,0.0008853033279766582
pos18_logP,0.0008206041440922792
pos16_logP,0.0008029248381305461
pos19_logP,0.00035397665008845414
pos16_coupling_strokes,0.0
pos17_coupling_strokes,0.0
pos18_coupling_strokes,0.0
pos19_coupling_strokes,0.0
pos4_deprotection_strokes,0.0
pos5_deprotection_strokes,0.0
pos6_deprotection_strokes,0.0
pos7_deprotection_strokes,0.0
pos0_deprotection_strokes,0.0
pos1_deprotection_strokes,0.0
pos2_deprotection_strokes,0.0
pos3_deprotection_strokes,0.0
pos0_coupling_strokes,0.0
pos1_coupling_strokes,0.0
pos2_coupling_strokes,0.0
pos3_coupling_strokes,0.0
pos4_coupling_strokes,0.0
pos5_coupling_strokes,0.0
pos6_coupling_strokes,0.0
pos7_coupling_strokes,0.0
pos8_coupling_strokes,0.0
pos9_coupling_strokes,0.0
pos10_coupling_strokes,0.0
pos11_coupling_strokes,0.0
pos12_coupling_strokes,0.0
pos13_coupling_strokes,0.0
pos14_coupling_strokes,0.0
pos15_coupling_strokes,0.0
pos8_flow_rate,0.0
pos9_flow_rate,0.0
pos10_flow_rate,0.0
pos11_flow_rate,0.0
pos12_flow_rate,0.0
pos13_flow_rate,0.0
pos14_flow_rate,0.0
pos15_flow_rate,0.0
pos16_flow_rate,0.0
pos17_flow_rate,0.0
pos18_flow_rate,0.0
pos19_flow_rate,0.0
pos0_temp_reactor_1,0.0
pos1_temp_reactor_1,0.0
pos2_temp_reactor_1,0.0
pos3_temp_reactor_1,0.0
pos4_temp_reactor_1,0.0
pos5_temp_reactor_1,0.0
pos6_temp_reactor_1,0.0
pos7_temp_reactor_1,0.0
pos8_temp_reactor_1,0.0
pos9_temp_reactor_1,0.0
pos10_temp_reactor_1,0.0
pos11_temp_reactor_1,0.0
pos12_temp_reactor_1,0.0
pos13_temp_reactor_1,0.0
pos14_temp_reactor_1,0.0
pos15_temp_reactor_1,0.0
pos16_temp_reactor_1,0.0
pos17_temp_reactor_1,0.0
pos18_temp_reactor_1,0.0
pos19_temp_reactor_1,0.0
pos0_first_area,0.0
pos1_first_area,0.0
pos2_first_area,0.0
pos3_first_area,0.0
pos4_first_area,0.0
pos5_first_area,0.0
pos6_first_area,0.0
pos7_first_area,0.0
pos8_first_area,0.0
pos9_first_area,0.0
pos10_first_area,0.0
pos11_first_area,0.0
pos8_deprotection_strokes,0.0
pos9_deprotection_strokes,0.0
pos10_deprotection_strokes,0.0
pos11_deprotection_strokes,0.0
pos12_deprotection_strokes,0.0
pos13_deprotection_strokes,0.0
pos14_deprotection_strokes,0.0
pos15_deprotection_strokes,0.0
pos16_deprotection_strokes,0.0
pos17_deprotection_strokes,0.0
pos18_deprotection_strokes,0.0
pos19_deprotection_strokes,0.0
pos0_flow_rate,0.0
pos1_flow_rate,0.0
pos2_flow_rate,0.0
pos3_flow_rate,0.0
pos4_flow_rate,0.0
pos5_flow_rate,0.0
pos6_flow_rate,0.0
pos7_flow_rate,0.0
pos11_first_height,0.0
pos10_first_height,0.0
pos9_first_height,0.0
pos8_first_height,0.0
pos7_first_height,0.0
pos6_first_height,0.0
pos5_first_height,0.0
pos4_first_height,0.0
pos3_first_height,0.0
pos2_first_height,0.0
pos1_first_height,0.0
pos0_first_height,0.0
pos19_first_area,0.0
pos18_first_area,0.0
pos17_first_area,0.0
pos16_first_area,0.0
pos15_first_area,0.0
pos14_first_area,0.0
pos13_first_area,0.0
pos12_first_area,0.0
pos12_first_height,0.0
pos13_first_height,0.0
pos14_first_height,0.0
pos15_first_height,0.0
pos0_first_width,0.0
pos1_first_width,0.0
pos2_first_width,0.0
pos3_first_width,0.0
pos16_first_height,0.0
pos17_first_height,0.0
pos18_first_height,0.0
pos19_first_height,0.0
pos4_prev_area,0.0
pos5_prev_area,0.0
pos6_prev_area,0.0
pos7_prev_area,0.0
pos8_prev_area,0.0
pos9_prev_area,0.0
pos10_prev_area,0.0
pos11_prev_area,0.0
pos12_prev_area,0.0
pos13_prev_area,0.0
pos14_prev_area,0.0
pos15_prev_area,0.0
pos4_first_width,0.0
pos5_first_width,0.0
pos6_first_width,0.0
pos7_first_width,0.0
pos8_first_width,0.0
pos9_first_width,0.0
pos10_first_width,0.0
pos11_first_width,0.0
pos12_first_width,0.0
pos13_first_width,0.0
pos14_first_width,0.0
pos15_first_width,0.0
pos16_first_width,0.0
pos17_first_width,0.0
pos18_first_width,0.0
pos19_first_width,0.0
pos0_prev_area,0.0
pos1_prev_area,0.0
pos2_prev_area,0.0
pos3_prev_area,0.0
pos15_prev_height,0.0
pos14_prev_height,0.0
pos13_prev_height,0.0
pos12_prev_height,0.0
pos11_prev_height,0.0
pos10_prev_height,0.0
pos9_prev_height,0.0
pos8_prev_height,0.0
pos7_prev_height,0.0
pos6_prev_height,0.0
pos5_prev_height,0.0
pos4_prev_height,0.0
pos3_prev_height,0.0
pos2_prev_height,0.0
pos1_prev_height,0.0
pos0_prev_height,0.0
pos19_prev_area,0.0
pos18_prev_area,0.0
pos17_prev_area,0.0
pos16_prev_area,0.0
pos16_prev_height,0.0
pos17_prev_height,0.0
pos18_prev_height,0.0
pos19_prev_height,0.0
pos4_prev_width,0.0
pos5_prev_width,0.0
pos6_prev_width,0.0
pos7_prev_width,0.0
pos0_prev_width,0.0
pos1_prev_width,0.0
pos2_prev_width,0.0
pos3_prev_width,0.0
pos7_prev_diff,0.0
pos6_prev_diff,0.0
pos5_prev_diff,0.0
pos4_prev_diff,0.0
pos3_prev_diff,0.0
pos2_prev_diff,0.0
pos1_prev_diff,0.0
pos0_prev_diff,0.0
pos19_prev_width,0.0
pos18_prev_width,0.0
pos17_prev_width,0.0
pos16_prev_width,0.0
pos15_prev_width,0.0
pos14_prev_width,0.0
pos13_prev_width,0.0
