feature,mean_abs_shap
Ser (S),0.029309898459255045
Gly (G),0.015578982140589873
Thr (T),0.011666860078650572
Leu (L),0.011133061044758145
Ile (I),0.010510462606260207
Phe (F),0.009238066459294833
Cys (C),0.009155923746596021
Ala (A),0.009110306130540756
Lys (K),0.007405282289361134
Asn (N),0.006012185700400577
Val (V),0.004714004096083196
Arg (R),0.004489916652714874
Asp (D),0.004250319409128269
His (H),0.004092695386225539
Pro (P),0.004034344899088397
Tyr (Y),0.003965083728428409
Gln (Q),0.003733982354745065
Trp (W),0.0033057457564798598
Glu (E),0.0028289851776706564
Met (M),0.002335690302578884
