feature,mean_abs_shap
pos5_bit59,0.5313086
pos7_bit3,0.25296026
pos6_bit59,0.1945649
pos2_bit30,0.19038428
pos5_bit108,0.18811497
pos5_bit118,0.18318604
pos5_bit85,0.17684737
pos9_bit66,0.17120238
pos6_bit83,0.16782562
pos7_bit27,0.15405534
pos9_bit27,0.15134963
pos4_bit27,0.14865589
pos7_bit1,0.14792925
pos8_bit27,0.13746884
pos6_bit38,0.13065143
pos7_bit66,0.12648956
pos10_bit69,0.124769874
pos7_bit33,0.12353804
pos3_bit119,0.122004986
pos6_bit43,0.11820009
pos2_bit99,0.115120456
pos12_bit33,0.11278133
pos6_bit69,0.10947229
pos0_bit99,0.10823886
pos5_bit111,0.10522528
pos0_bit27,0.104219876
pos7_bit0,0.103938065
pos7_bit40,0.103397176
pos1_bit30,0.101619616
pos10_bit108,0.09631667
pos6_bit1,0.09624419
pos2_bit73,0.09622848
pos1_bit83,0.092824355
pos1_bit18,0.09039738
pos8_bit35,0.09033041
pos6_bit73,0.08801055
pos2_bit27,0.085779876
pos5_bit27,0.08070691
pos5_bit83,0.07674933
pos1_bit108,0.075469665
pos8_bit57,0.07183098
pos0_bit114,0.07133727
pos2_bit57,0.068757944
pos11_bit30,0.06746865
pos0_bit73,0.06741255
pos0_bit111,0.06593661
pos5_bit79,0.065183364
pos10_bit30,0.06248324
pos10_bit1,0.060891
pos4_bit59,0.059680462
pos5_bit58,0.056634966
pos8_bit66,0.056276914
pos6_bit58,0.05610301
pos2_bit69,0.0555194
pos12_bit42,0.055495292
pos3_bit57,0.051834717
pos9_bit0,0.051749937
pos4_bit30,0.05132579
pos3_bit83,0.05130187
pos5_bit40,0.050302967
pos11_bit27,0.050219893
pos1_bit119,0.049917705
pos4_bit69,0.048374575
pos6_bit57,0.046384208
pos8_bit38,0.046143267
pos3_bit8,0.045262884
pos8_bit33,0.044051044
pos4_bit119,0.043690104
pos9_bit83,0.04314594
pos9_bit69,0.042793218
pos10_bit18,0.042050276
pos11_bit3,0.041880395
pos2_bit108,0.041880384
pos6_bit33,0.041514214
pos0_bit13,0.041480545
pos7_bit57,0.040970188
pos4_bit40,0.040850542
pos9_bit73,0.04075209
pos9_bit33,0.04009101
pos7_bit67,0.039941262
pos9_bit57,0.03976807
pos0_bit108,0.038938444
pos3_bit40,0.038799483
pos12_bit0,0.03863278
pos3_bit90,0.038367763
pos7_bit73,0.038232297
pos11_bit0,0.036910493
pos7_bit108,0.03652363
pos10_bit3,0.03634291
pos7_bit59,0.036248673
pos0_bit57,0.036096856
pos7_bit30,0.03542049
pos2_bit71,0.034689978
pos3_bit30,0.034492772
pos0_bit119,0.03434993
pos9_bit18,0.03392412
pos10_bit0,0.03376123
pos5_bit38,0.03352139
pos4_bit58,0.0335159
pos1_bit33,0.033421203
pos5_bit33,0.032618962
pos7_bit119,0.032473844
pos0_bit69,0.031894505
pos10_bit4,0.031728085
pos1_bit90,0.03138292
pos4_bit57,0.031070719
pos5_bit69,0.03104445
pos12_bit90,0.030293077
pos4_bit83,0.030278977
pos8_bit83,0.030117838
pos0_bit33,0.029917432
pos2_bit18,0.029857991
pos7_bit99,0.029804926
pos3_bit58,0.02967142
pos8_bit73,0.029414456
pos8_bit101,0.029121274
pos8_bit18,0.029089399
pos6_bit27,0.027528547
pos1_bit57,0.027416522
pos1_bit73,0.027398348
pos6_bit30,0.027289018
pos0_bit37,0.027027324
pos2_bit42,0.026990803
pos4_bit79,0.026435524
pos1_bit58,0.026372647
pos5_bit114,0.026131758
pos3_bit122,0.025953708
pos11_bit1,0.025831033
pos12_bit3,0.025793333
pos3_bit18,0.025665745
pos3_bit69,0.025628617
pos3_bit99,0.02548491
pos3_bit38,0.0254727
pos9_bit99,0.025466945
pos9_bit1,0.025297936
pos13_bit3,0.02512215
pos7_bit83,0.024927888
pos0_bit72,0.024904598
pos7_bit42,0.024537496
pos9_bit4,0.02425682
pos5_bit30,0.023930823
pos1_bit27,0.023753092
pos10_bit38,0.023620538
pos4_bit66,0.023618443
pos0_bit79,0.023532998
pos1_bit69,0.023122037
pos0_bit6,0.022806404
pos2_bit40,0.022564856
pos7_bit61,0.02245816
pos3_bit66,0.02238321
pos10_bit111,0.022236614
pos4_bit31,0.022092441
pos6_bit40,0.02206661
pos3_bit108,0.02188602
pos8_bit79,0.021831226
pos5_bit37,0.021759847
pos12_bit1,0.021734102
pos5_bit57,0.021316072
pos3_bit79,0.02124486
pos12_bit57,0.021108009
pos8_bit69,0.020866664
pos0_bit23,0.02064803
pos9_bit23,0.020599622
pos5_bit1,0.02021212
pos8_bit99,0.02019019
pos6_bit6,0.020184621
pos1_bit114,0.020165121
pos6_bit66,0.019941691
pos4_bit84,0.019932723
pos7_bit58,0.019803364
pos8_bit1,0.019665027
pos8_bit40,0.019464994
pos8_bit8,0.019388407
pos9_bit54,0.019115074
pos1_bit84,0.018825632
pos7_bit18,0.018641887
pos7_bit90,0.01862364
pos4_bit114,0.018332291
pos10_bit33,0.018195203
pos9_bit79,0.01814638
pos4_bit116,0.017939063
pos8_bit30,0.017898558
pos6_bit35,0.017847212
pos4_bit33,0.017624797
pos9_bit3,0.01717543
pos2_bit33,0.01705271
pos5_bit16,0.017035533
pos9_bit72,0.016962858
pos3_bit59,0.016739305
pos4_bit2,0.016630266
pos7_bit79,0.01658352
pos1_bit1,0.016480796
pos8_bit59,0.016382627
pos11_bit99,0.016299052
pos1_bit8,0.015943952
pos4_bit91,0.015730755
pos0_bit98,0.01571376
pos10_bit23,0.015680982
pos7_bit114,0.015675435
pos0_bit30,0.015629297
pos11_bit66,0.015544172
pos8_bit6,0.01537558
pos1_bit79,0.015327132
pos5_bit13,0.01524361
pos4_bit1,0.015031855
pos10_bit73,0.014793776
pos2_bit119,0.014748342
pos0_bit18,0.01470433
