feature,mean_abs_shap
bit2,0.40612757
bit40,0.38216794
bit36,0.3607464
bit101,0.338941
bit72,0.31637847
bit62,0.30190334
bit120,0.25748113
bit87,0.22918546
bit24,0.22443305
bit83,0.21847047
bit28,0.21829905
bit123,0.2180202
bit51,0.20590879
bit54,0.20128596
bit31,0.19498228
bit25,0.19460547
bit43,0.19041605
bit91,0.17729634
bit35,0.17130421
bit90,0.17117022
bit7,0.16690238
bit57,0.16485366
bit29,0.1599814
bit104,0.15272346
bit49,0.14131515
bit115,0.13637392
bit85,0.1362904
bit108,0.13472444
bit48,0.12845887
bit6,0.1284352
bit22,0.12770791
bit26,0.1262895
bit20,0.12604776
bit102,0.12229788
bit118,0.120621376
bit127,0.112769626
bit9,0.11145183
bit73,0.10052738
bit63,0.10037104
bit38,0.09919348
bit4,0.09899418
bit11,0.096213415
bit23,0.095975086
bit79,0.09555212
bit21,0.09547873
bit78,0.09286746
bit13,0.09198076
bit82,0.08793062
bit71,0.087474175
bit3,0.087093964
bit70,0.085640155
bit66,0.083699174
bit74,0.0830537
bit15,0.083039984
bit37,0.0813866
bit116,0.07967088
bit14,0.076736405
bit42,0.0734446
bit88,0.068541564
bit107,0.068039246
bit46,0.06667358
bit92,0.06659921
bit17,0.065408766
bit112,0.061066795
bit50,0.059911404
bit103,0.05500965
bit44,0.05445505
bit113,0.051361732
bit126,0.051314328
bit56,0.051106784
bit93,0.050475437
bit52,0.047236625
bit47,0.046365477
bit65,0.045493916
bit111,0.043895416
bit34,0.043573555
bit89,0.043494765
bit98,0.04058397
bit59,0.04053463
bit77,0.03515397
bit18,0.03478597
bit97,0.03424005
bit105,0.030452415
bit30,0.03028294
bit124,0.028241897
bit53,0.027291434
bit41,0.023507986
bit121,0.02146217
bit84,0.020647185
bit8,0.019662438
bit58,0.019654829
bit45,0.018329995
bit16,0.016708637
bit94,0.016634746
bit95,0.0150690945
bit119,0.013415536
bit68,0.011327335
bit5,0.010742919
bit122,0.010249844
bit76,0.007340973
bit99,0.005905891
bit75,0.004848925
bit67,0.002172112
bit60,0.0016810634
bit32,0.0010548566
bit109,0.0008655889
bit64,0.00069214613
bit106,0.0005960714
bit0,0.0
bit1,0.0
bit19,0.0
bit27,0.0
bit61,0.0
bit55,0.0
bit39,0.0
bit33,0.0
bit12,0.0
bit10,0.0
bit86,0.0
bit69,0.0
bit80,0.0
bit81,0.0
bit96,0.0
bit100,0.0
bit110,0.0
bit114,0.0
bit117,0.0
bit125,0.0
